Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
125,42,21,6.64521,10.0203,-3.37509,406.139,227.443,178.696,324,22480,-22156
126,42,21,5.46366,7.40061,-1.93695,329.902,175.779,154.123,323,22831,-22508
127,42,21,5.98265,11.3851,-5.40244,430.847,231.375,199.471,433,23988,-23555
128,42,21,4.39577,10.0488,-5.65303,338.588,209.582,129.007,344,22995,-22651
129,42,21,6.30436,15.0186,-8.71424,541.662,339.541,202.121,354,23442,-23088
130,42,21,8.9483,16.6125,-7.66422,517.607,377.233,140.374,365,22890,-22525
131,42,21,5.33302,11.0497,-5.71664,389.63,233.476,156.155,325,22640,-22315
132,42,21,5.48237,9.58627,-4.1039,387.037,208.577,178.46,324,23163,-22839
133,42,21,6.54348,14.4856,-7.94208,591.608,340.268,251.34,324,22848,-22524
134,42,21,6.69751,15.6468,-8.94927,431.997,283.64,148.357,334,23113,-22779
135,42,21,5.73449,17.8204,-12.0859,455.334,344.584,110.75,323,23632,-23309
136,42,21,5.88296,15.5367,-9.65372,422.372,292.633,129.739,324,22683,-22359
137,42,21,5.50809,25.0809,-19.5728,469.991,431.519,38.4727,323,22911,-22588
138,42,21,6.33585,18.2699,-11.934,501.684,347.726,153.959,453,23011,-22558
139,42,21,8.17997,21.0932,-12.9133,375.568,348.375,27.1932,365,22859,-22494
140,42,21,5.04079,9.15873,-4.11794,311.922,202.113,109.809,334,23025,-22691
141,42,21,6.29456,18.6843,-12.3898,491.547,377.581,113.967,332,24901,-24569
142,42,21,5.96355,15.3876,-9.42408,508.637,317.082,191.555,323,24302,-23979
143,42,21,6.96887,18.4215,-11.4527,597.756,434.756,163,324,22507,-22183
144,42,21,6.46596,17.5511,-11.0851,474.279,295.111,179.167,331,23537,-23206
145,42,21,6.21264,15.0534,-8.84072,449.995,301.614,148.381,324,23186,-22862
