vector,PAA Frames,APCA Frames,PAA Eu,APCAA Eu,Dif Eu,PAA Dtw,APCA Dtw,Dif Dtw,PAA tik,APCA tik,Dif tik
247,80,40,151.284,316.757,-165.473,4530.62,9979.91,-5449.29,601,62528,-61927
248,80,40,167.023,341.226,-174.204,5122.52,11874.2,-6751.65,599,64007,-63408
249,80,40,180.737,371.406,-190.668,5435.07,12753.2,-7318.08,620,64118,-63498
250,80,40,189.115,447.688,-258.573,5616.27,14096,-8479.74,648,63804,-63156
251,80,40,182.81,428.466,-245.656,5496.18,13875.3,-8379.07,632,63095,-62463
252,80,40,172.237,405.78,-233.543,5124.2,12565.5,-7441.34,614,65721,-65107
253,80,40,171.587,421.287,-249.7,4948.14,11773.6,-6825.45,633,62205,-61572
254,80,40,160.755,341.148,-180.393,5182.72,11472.7,-6289.99,661,62840,-62179
255,80,40,150.583,293.494,-142.911,4995.72,10464.1,-5468.39,630,61635,-61005
256,80,40,181.073,380.951,-199.878,5508.39,12628.6,-7120.19,596,61482,-60886
257,80,40,175.297,319.524,-144.228,5324.68,11112.2,-5787.49,631,63324,-62693
258,80,40,173.592,345.848,-172.256,5547.35,10779.8,-5232.5,632,63086,-62454
259,80,40,157.717,337.988,-180.271,5118.28,10860.4,-5742.12,600,63900,-63300
260,80,40,188.811,297.553,-108.742,5733.06,9809.13,-4076.07,596,64147,-63551
261,80,40,144.975,244.877,-99.9024,4367.94,8172.74,-3804.8,600,62367,-61767
262,80,40,171.539,376.571,-205.033,5151.13,11669.9,-6518.72,674,64026,-63352
263,80,40,156.445,333.657,-177.213,4738.98,10700.5,-5961.49,634,61673,-61039
264,80,40,127.072,316.335,-189.263,4017.82,10355.6,-6337.75,614,63660,-63046
265,80,40,129.091,301.475,-172.384,3978.65,8757.91,-4779.26,596,61534,-60938
266,80,40,139.252,328.487,-189.235,4327.06,11317.7,-6990.64,598,62236,-61638
267,80,40,134.997,311.804,-176.807,4127.75,10873,-6745.23,598,65895,-65297
268,80,40,139.663,236.911,-97.2486,4156.87,7439.54,-3282.66,691,63740,-63049
269,80,40,125.008,213.012,-88.0034,3776.1,7450.62,-3674.51,649,63727,-63078
270,80,40,132.483,244.542,-112.059,4087.54,8641.28,-4553.74,724,65093,-64369
271,80,40,110.871,204.856,-93.985,3200.42,6914.36,-3713.94,601,62458,-61857
272,80,40,170.363,360.134,-189.771,5276.8,13117.6,-7840.83,641,61489,-60848
