Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
92,20,10,22.0344,22.4413,-0.406899,334.329,348.07,-13.7414,210,11353,-11143
93,20,10,22.2347,22.3006,-0.0658894,411.988,411.605,0.382831,186,12881,-12695
94,20,10,22.013,22.409,-0.395975,381.84,394.342,-12.5023,210,13150,-12940
95,20,10,22.2525,22.8364,-0.583857,392.926,417.237,-24.3109,184,9958,-9774
96,20,10,22.2631,22.4624,-0.199341,394.962,396.456,-1.49388,175,9708,-9533
97,20,10,22.2201,22.427,-0.206867,375.823,372.482,3.34143,195,9843,-9648
98,20,10,21.8735,22.3737,-0.500221,375.301,388.345,-13.044,174,10184,-10010
99,20,10,21.8308,22.3438,-0.513006,386.974,398.315,-11.3405,252,13906,-13654
100,20,10,22.0564,22.4338,-0.37735,396.658,404.163,-7.50494,185,9728,-9543
101,20,10,22.1732,22.3746,-0.201355,389.818,391.395,-1.577,187,12206,-12019
102,20,10,22.2186,22.2902,-0.0715215,412.539,412.548,-0.00879217,175,13161,-12986
103,20,10,21.7863,22.3433,-0.557033,385.731,400.043,-14.3123,184,13608,-13424
104,20,10,22.1762,22.3476,-0.171391,413.767,421.834,-8.06619,183,10679,-10496
105,20,10,21.8278,22.3241,-0.496285,381.849,395.485,-13.6359,186,9937,-9751
106,20,10,22.0525,22.3333,-0.280819,372.83,378.966,-6.13519,176,10793,-10617
107,20,10,21.9926,22.323,-0.330418,374.86,377.071,-2.21079,183,19264,-19081
108,20,10,22.0948,22.4644,-0.369605,379.425,390.876,-11.4507,175,9367,-9192
109,20,10,22.1797,22.3424,-0.162697,409.968,410.67,-0.701961,184,10265,-10081
110,20,10,22.2492,22.3274,-0.0782685,413.934,412.034,1.89968,201,9553,-9352
111,20,10,22.2168,22.3322,-0.115328,397.919,404.4,-6.4819,188,9806,-9618
112,20,10,22.1779,22.3424,-0.164476,394.123,397.98,-3.85678,179,10145,-9966
113,20,10,21.9216,22.5498,-0.628179,384.502,398.63,-14.1282,183,12316,-12133
114,20,10,21.9301,22.3291,-0.398971,381.925,399.503,-17.5778,194,10407,-10213
115,20,10,22.0494,22.2999,-0.250507,397.68,406.288,-8.60712,175,10527,-10352
116,20,10,21.9046,22.3668,-0.462163,388.399,406.121,-17.7217,180,9750,-9570
117,20,10,22.2614,22.1822,0.0791658,399.99,392.173,7.81751,179,8881,-8702
118,20,10,22.1658,22.3804,-0.214598,389.678,397.225,-7.54704,203,9774,-9571
119,20,10,22.1138,22.2206,-0.106789,393.81,399.376,-5.56567,184,9683,-9499
120,20,10,22.0538,22.3474,-0.293624,387.76,398.111,-10.3512,176,9289,-9113
121,20,10,21.8317,22.4312,-0.599488,378.276,402.953,-24.6766,190,9645,-9455
122,20,10,21.9814,22.2864,-0.304965,392.744,406.086,-13.3417,262,9601,-9339
123,20,10,21.7937,22.3476,-0.553942,379.457,387.674,-8.21743,185,9117,-8932
124,20,10,21.9838,22.2955,-0.311708,383.424,396.84,-13.4163,212,9933,-9721
125,20,10,21.9393,22.3326,-0.393249,389.039,403.726,-14.6866,183,11513,-11330
126,20,10,21.8824,22.3045,-0.42209,378.052,392.231,-14.1791,242,9829,-9587
127,20,10,22.2858,22.3705,-0.0846837,421.423,421.952,-0.528463,208,9417,-9209
128,20,10,22.269,22.3204,-0.051438,409.838,408.972,0.865077,180,9723,-9543
129,20,10,22.1683,22.0696,0.0986904,396.976,392.416,4.56018,175,9759,-9584
130,20,10,22.203,22.255,-0.0520066,405.616,407.455,-1.83954,184,9386,-9202
131,20,10,22.1663,22.2752,-0.108911,385.171,390.983,-5.81216,199,9553,-9354
132,20,10,22.2046,22.3697,-0.165081,399.715,401.848,-2.13261,237,9670,-9433
133,20,10,22.2089,22.3768,-0.16794,392.568,400.327,-7.75873,180,9628,-9448
134,20,10,21.9267,22.2781,-0.351413,384.007,390.196,-6.18914,184,10289,-10105
135,20,10,21.9626,22.1882,-0.225622,380.642,395.395,-14.7528,234,13609,-13375
136,20,10,22.2697,22.1968,0.0728554,402.611,395.906,6.70491,267,9773,-9506
137,20,10,22.1092,22.3656,-0.256392,390.677,393.643,-2.96666,189,9518,-9329
138,20,10,21.544,22.2923,-0.748319,370.956,386.556,-15.6003,220,9906,-9686
139,20,10,21.6907,22.3354,-0.64465,390.764,408.571,-17.8078,193,9710,-9517
140,20,10,22.2417,22.2936,-0.0518895,428.403,428.114,0.28923,274,9981,-9707
141,20,10,21.9646,22.2913,-0.326641,383.68,393.995,-10.3155,217,10332,-10115
142,20,10,22.0967,22.3382,-0.241541,393.337,404.92,-11.583,174,9889,-9715
143,20,10,21.9865,22.2464,-0.259895,370.808,376.877,-6.06959,185,9913,-9728
144,20,10,22.1251,22.2652,-0.140141,381.21,389.378,-8.16735,229,9386,-9157
145,20,10,22.1592,22.3787,-0.219451,396.33,397.613,-1.28339,184,13476,-13292
146,20,10,22.2783,22.1732,0.105028,361.514,348.717,12.7967,199,15815,-15616
147,20,10,22.2156,22.1118,0.10381,373.852,370.024,3.82711,184,16896,-16712
148,20,10,22.2337,22.3147,-0.0810282,421.838,427.71,-5.87222,179,10685,-10506
149,20,10,22.0821,22.2637,-0.181605,399.401,406.754,-7.35333,206,9339,-9133
150,20,10,22.2623,22.2414,0.0208745,392.727,389.825,2.90175,277,10052,-9775
151,20,10,22.0681,22.3412,-0.27303,389.47,401.059,-11.5896,185,9793,-9608
152,20,10,21.8687,22.4482,-0.579574,387.133,405.402,-18.2696,179,10463,-10284
153,20,10,21.7498,22.3214,-0.571519,381.834,400.632,-18.7982,174,9906,-9732
154,20,10,22.2551,22.3038,-0.0487373,428.879,430.048,-1.16865,197,10273,-10076
155,20,10,22.0381,22.3613,-0.323254,394.267,409.567,-15.3003,233,9796,-9563
156,20,10,21.6774,22.3639,-0.686481,377.472,399.306,-21.8341,181,9652,-9471
157,20,10,21.3894,22.4078,-1.01836,370.952,386.869,-15.9169,177,9291,-9114
158,20,10,21.8586,22.1343,-0.275646,396.022,401.474,-5.45183,217,9835,-9618
159,20,10,22.1512,22.5182,-0.366985,383.352,393.593,-10.2411,184,9461,-9277
160,20,10,21.8869,22.3075,-0.420635,391.413,401.999,-10.5855,175,9850,-9675
161,20,10,22.1981,22.3195,-0.121376,398.456,394.847,3.60884,217,9511,-9294
162,20,10,22.186,22.2331,-0.0470637,404.071,406.708,-2.63736,175,9730,-9555
163,20,10,22.1698,22.8951,-0.725344,378.815,386.63,-7.81499,191,9443,-9252
164,20,10,22.2462,22.1667,0.0794895,415.586,410.255,5.33072,186,9648,-9462
165,20,10,22.1461,22.3186,-0.172515,400.788,406.199,-5.41076,216,10181,-9965
166,20,10,22.1496,22.4548,-0.305261,400.329,407.033,-6.70408,219,9222,-9003
167,20,10,22.0043,22.454,-0.449697,384.66,397.205,-12.5454,180,9857,-9677
